State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Computer,sex_ratio,literacy_rate
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,1921857,1754984,2403903,19214,486958,28617,3107681,546987,7696,3309,1146,1898,298,336056,57583,110.0,65.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,291081,331425,436497,1830,150995,1281,611250,7752,1895,256,201,31,6,109876,9858,88.0,70.0
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,124326,135572,179483,435,72061,1982,257509,1440,397,46,102,7,16,47083,3595,92.0,69.0
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,193991,197614,280556,899,79317,12260,385818,4395,428,323,190,11,23,71524,5582,98.0,72.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,131125,128523,177726,548,47383,1339,249563,8693,870,336,24,28,6,37725,3159,102.0,68.0
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,239306,244133,345550,1344,120378,19535,475105,6015,1401,260,185,13,30,95421,7932,98.0,71.0
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,297986,320945,407994,1366,102130,875,609835,7374,656,290,32,91,109,117239,7831,93.0,66.0
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,858783,790119,1037839,7883,238264,123037,1104452,372267,6064,162768,505,738,159,254802,28053,109.0,63.0
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,168597,161489,215126,602,80567,3512,324859,3554,353,167,563,74,105,52621,4104,104.0,65.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,1838095,1758579,2232992,4273,1174447,368690,3033581,290450,3865,386,260,2904,260694,334670,34128,105.0,62.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,3966889,3750674,5247208,32323,2115719,489447,6008472,1599764,21220,16675,1602,1674,44968,1049943,141387,106.0,68.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,1790920,1711484,2158447,5210,1033140,242484,2181515,1298054,10906,582,258,1152,6051,333752,39636,105.0,62.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,857199,819077,1083685,2518,482754,275366,1232850,412788,24794,276,148,323,2786,168069,24318,105.0,65.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,937259,909564,1315585,10943,317275,397389,1366681,105086,141848,2032,209240,1840,15523,297176,38065,103.0,71.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,2500819,2349210,3605206,30751,718951,15094,3535844,1270641,8666,4380,1258,9699,1265,796953,99261,106.0,74.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,2814653,2704492,4078388,31725,1344021,229243,4574569,870204,7300,2662,1730,2160,49050,965258,118459,104.0,74.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1983064,1889782,2498780,9322,1458278,731704,3156781,445817,186279,2994,50676,1461,23816,382500,48818,105.0,65.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,2356766,2139928,3588137,136618,241932,10684,3440290,926414,39758,13849,4771,21178,1452,927602,252644,110.0,80.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,2051541,1937304,2086432,5357,835430,313984,1914352,2045151,13209,747,359,639,7929,297716,63525,106.0,52.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,3627564,3476243,4055834,7951,897534,91035,2359061,4707573,18102,766,348,3037,7429,541169,79729,104.0,57.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,2653768,2513832,3480555,12787,1546917,140700,3728482,1382682,33835,849,514,281,16893,623729,77210,106.0,67.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,1496996,1433119,1624905,3551,567767,540652,2373120,227249,8646,622,209,3052,309029,189889,32862,104.0,55.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,1551066,1456068,1489667,2883,807950,162816,1482943,1501170,16702,477,432,1324,1622,199307,31210,107.0,50.0
